,0.1-1.0,2.0-4.0,4.0-14.0,4.0-8.0,8.0-14.0
2019-11-02 02:30:01.860,4.58872333754e-07,1.19491115851e-10,3.22614653364e-11,2.84608949911e-11,1.50297175659e-11
2019-11-02 02:45:01.860,4.89986142226e-07,1.17795395904e-10,3.09017214679e-11,2.75514622999e-11,1.3836501937e-11
2019-11-02 03:00:01.860,5.16378266227e-07,1.23170122965e-10,3.06437621218e-11,2.71664712581e-11,1.39971579753e-11
2019-11-02 03:15:01.860,5.33164783511e-07,1.24528978521e-10,3.14202159942e-11,2.73121600618e-11,1.53659831531e-11
2019-11-02 03:30:01.860,5.65541466548e-07,1.25155326336e-10,3.12871815162e-11,2.72524053547e-11,1.51980779701e-11
2019-11-02 03:45:01.860,5.4567564631e-07,1.25490971337e-10,3.1098125805e-11,2.75958209905e-11,1.4125461683e-11
2019-11-02 04:00:01.860,5.45142982297e-07,1.26283338258e-10,3.13806599537e-11,2.81681482101e-11,1.36192484873e-11
2019-11-02 04:15:01.860,5.53299739205e-07,1.33042792822e-10,3.31719684546e-11,3.03363576176e-11,1.32224492714e-11
2019-11-02 04:30:01.860,5.77561372288e-07,1.32428284043e-10,3.6967201537e-11,3.30753578986e-11,1.62654880156e-11
2019-11-02 04:45:01.860,6.13894309425e-07,1.3598289546e-10,4.35778567454e-11,3.36043454936e-11,2.75364507008e-11
2019-11-02 05:00:01.860,6.39586050564e-07,1.41604487278e-10,4.09833203902e-11,3.45552901073e-11,2.17927151994e-11
2019-11-02 05:15:01.860,6.43798282668e-07,1.43026963861e-10,4.11061372036e-11,3.617106092e-11,1.92068081297e-11
2019-11-02 05:30:01.860,6.79137680331e-07,1.44554569998e-10,3.66521739163e-11,3.22355017795e-11,1.72607027405e-11
2019-11-02 05:45:01.860,7.28724552753e-07,1.50784728323e-10,3.76247250242e-11,3.29030132504e-11,1.80864761139e-11
2019-11-02 06:00:01.860,7.31011576292e-07,1.537274136e-10,4.37292997032e-11,3.80532254823e-11,2.13523153762e-11
