,4.0-14.0,5.0-20.0
2019-12-09 10:59:55.430000,1.0473762005e-08,8.4042976996e-09
2019-12-09 11:14:55.430000,1.01294331191e-08,8.09475146111e-09
2019-12-09 11:29:55.430000,9.00069128811e-09,7.19869163226e-09
2019-12-09 11:44:55.430000,9.24539163663e-09,7.5319024825e-09
2019-12-09 11:59:55.430000,1.04842810454e-08,8.01382290344e-09
2019-12-09 12:14:55.430000,1.09771894274e-08,8.2500166884e-09
2019-12-09 12:29:55.430000,1.02790188136e-08,7.96829744491e-09
2019-12-09 12:44:55.430000,1.01511808149e-08,8.19908929216e-09
2019-12-09 12:59:55.430000,1.03822184691e-08,8.64633059798e-09
2019-12-09 13:14:55.430000,9.22536774088e-09,7.62614948407e-09
2019-12-09 13:29:55.430000,1.04671116915e-08,7.92721043406e-09
2019-12-09 13:44:55.430000,9.99610246728e-09,7.59073040442e-09
2019-12-09 13:59:55.430000,8.2631154053e-09,6.77820029547e-09
2019-12-09 14:14:55.430000,7.94137318669e-09,6.43210027027e-09
2019-12-09 14:29:55.430000,8.19804411103e-09,6.82548834954e-09
2019-12-09 14:44:55.430000,7.65019558462e-09,6.34364606879e-09
2019-12-09 14:59:55.430000,7.27375636009e-09,5.85247779654e-09
2019-12-09 15:14:55.430000,7.17468728333e-09,5.84822381477e-09
2019-12-09 15:29:55.430000,7.04729072871e-09,5.88256550063e-09
2019-12-09 15:44:55.430000,7.06870118662e-09,5.89240160618e-09
2019-12-09 15:59:55.430000,7.09486718491e-09,5.85309904755e-09
2019-12-09 16:14:55.430000,6.87866153496e-09,5.59459338577e-09
2019-12-09 16:29:55.430000,6.80793802626e-09,5.659237837e-09
2019-12-09 16:44:55.430000,6.37554710786e-09,5.34624376226e-09
2019-12-09 16:59:55.430000,6.13284343456e-09,5.17206391136e-09
2019-12-09 17:14:55.430000,5.62108953766e-09,4.59310727751e-09
2019-12-09 17:29:55.430000,5.99864609906e-09,4.95421118033e-09
2019-12-09 17:44:55.430000,5.93557025979e-09,4.89488273225e-09
2019-12-09 17:59:55.430000,5.60028776242e-09,4.56491408765e-09
2019-12-09 18:14:55.430000,4.89691342641e-09,3.92910638776e-09
2019-12-09 18:29:55.430000,5.27722396663e-09,4.47109585102e-09
2019-12-09 18:44:55.430000,5.3838003218e-09,4.59849234328e-09
2019-12-09 18:59:55.430000,4.84419639825e-09,3.92400921845e-09
2019-12-09 19:14:55.430000,4.54885639461e-09,3.7071494027e-09
2019-12-09 19:29:55.430000,4.11061342802e-09,3.31228733524e-09
2019-12-09 19:44:55.430000,3.70925917443e-09,2.98072254941e-09
2019-12-09 19:59:55.430000,3.34221170422e-09,2.6250023028e-09
2019-12-09 20:14:55.430000,3.34720153687e-09,2.69503463174e-09
2019-12-09 20:29:55.430000,2.93403448778e-09,2.2399058629e-09
2019-12-09 20:44:55.430000,2.89125013323e-09,2.27889680666e-09
2019-12-09 20:59:55.430000,2.89856433347e-09,2.29555954101e-09
2019-12-09 21:14:55.430000,2.71347337597e-09,2.14868166697e-09
2019-12-09 21:29:55.430000,2.67948561668e-09,2.15743655023e-09
2019-12-09 21:44:55.430000,2.56477047871e-09,2.06795576682e-09
2019-12-09 21:59:55.430000,2.55547550155e-09,2.03637826849e-09
2019-12-09 22:14:55.430000,2.85403900251e-09,2.35110452239e-09
2019-12-09 22:29:55.430000,2.83492979569e-09,2.31291086845e-09
2019-12-09 22:44:55.430000,2.7570590698e-09,2.15829949605e-09
2019-12-09 22:59:55.430000,2.41689784912e-09,1.84916628054e-09
2019-12-09 23:14:55.430000,1.94280597125e-09,1.47012259737e-09
2019-12-09 23:29:55.430000,2.57658604821e-09,1.89296941982e-09
2019-12-09 23:44:55.430000,2.16947945579e-09,1.62872354231e-09
2019-12-09 23:59:55.430000,1.80170998488e-09,1.46941671126e-09
2019-12-10 00:14:54.990000,1.86086802279e-09,1.45056526217e-09
2019-12-10 00:29:54.990000,1.74421441189e-09,1.36051344421e-09
2019-12-10 00:44:54.990000,1.88658326046e-09,1.39806791659e-09
2019-12-10 00:59:54.990000,1.75813015776e-09,1.25856129285e-09
2019-12-10 01:14:54.990000,1.57285827512e-09,1.20679060441e-09
2019-12-10 01:29:54.990000,2.1966501798e-09,1.64492967876e-09
2019-12-10 01:44:54.990000,2.93863466709e-09,2.35195788711e-09
2019-12-10 01:59:54.990000,2.38885380277e-09,1.81259520188e-09
2019-12-10 02:14:54.990000,1.49001361484e-09,1.07812947282e-09
2019-12-10 02:29:54.990000,1.79395889016e-09,1.34322441695e-09
2019-12-10 02:44:54.990000,2.37642640768e-09,1.7259308186e-09
2019-12-10 02:59:54.990000,4.12352378525e-09,2.83805573859e-09
2019-12-10 03:14:54.990000,5.13978446256e-09,3.93211607922e-09
2019-12-10 03:29:54.990000,4.9113258742e-09,3.77651967885e-09
