Date,0.1-1.0,1.0-9.0,4.0-9.0
2019-12-01 07:59:59.019538,1.21252652689e-07,2.56334395133e-07,2.29157350109e-07
2019-12-01 08:14:59.019538,1.14565665086e-07,2.5139345716e-07,2.28014244035e-07
2019-12-01 08:29:59.019538,1.11774815532e-07,2.64894708698e-07,2.42179492179e-07
2019-12-01 08:44:59.019538,1.10116095062e-07,1.83038112715e-07,1.67138289807e-07
2019-12-01 08:59:59.019538,1.14272869596e-07,1.7639014318e-07,1.60677023258e-07
2019-12-01 09:14:59.019538,1.18312324406e-07,1.57824559979e-07,1.43223171264e-07
2019-12-01 09:29:59.019538,1.11258161645e-07,1.59932509598e-07,1.44433347959e-07
2019-12-01 09:44:59.019538,1.0733932276e-07,1.63902777295e-07,1.48891777156e-07
2019-12-01 09:59:59.019538,1.11774547963e-07,1.62311177653e-07,1.49315376157e-07
2019-12-01 10:14:59.019538,1.0696690849e-07,1.51862567686e-07,1.38724249005e-07
2019-12-01 10:29:59.019538,1.07616602456e-07,1.36609878285e-07,1.23623699861e-07
2019-12-01 10:44:59.019538,1.10103231206e-07,1.38279958114e-07,1.22398757265e-07
2019-12-01 10:59:59.019538,1.09262237682e-07,1.32672672687e-07,1.17345966322e-07
2019-12-01 11:14:59.019538,1.03951159248e-07,1.2048024342e-07,1.08018989957e-07
2019-12-01 11:29:59.019538,1.05563797992e-07,1.13277735944e-07,1.0238528325e-07
2019-12-01 11:44:59.019538,1.10008279512e-07,1.21823280568e-07,1.09252607731e-07
2019-12-01 11:59:59.019538,1.09742985825e-07,1.38411135776e-07,1.21813809543e-07
2019-12-01 12:14:59.019538,1.0018953417e-07,1.41146512179e-07,1.24771220167e-07
2019-12-01 12:29:59.019538,1.05130619314e-07,1.18170426317e-07,1.07749987639e-07
2019-12-01 12:44:59.019538,1.07015367599e-07,1.08289659637e-07,9.89554222703e-08
2019-12-01 12:59:59.019538,1.07754190379e-07,1.28599167216e-07,1.12774533912e-07
2019-12-01 13:14:59.019538,1.0985764431e-07,1.15986902673e-07,1.02299642278e-07
2019-12-01 13:29:59.019538,1.06707342373e-07,8.54594988878e-08,7.76791964909e-08
2019-12-01 13:44:59.019538,1.05109470107e-07,8.77246807323e-08,8.0970309257e-08
2019-12-01 13:59:59.019538,1.12676153592e-07,1.02448860099e-07,9.42676415626e-08
2019-12-01 14:14:59.019538,1.11991490086e-07,1.4456628313e-07,1.1673254446e-07
2019-12-01 14:29:59.019538,1.10147723236e-07,1.1750660359e-07,9.27420301696e-08
2019-12-01 14:44:59.019538,1.15753492595e-07,7.25491190015e-08,6.39571290776e-08
2019-12-01 14:59:59.019538,1.15706406175e-07,6.49458073226e-08,5.78936957175e-08
2019-12-01 15:14:59.019538,1.14730511278e-07,7.7353432712e-08,6.84318161673e-08
2019-12-01 15:29:59.019538,1.21864309799e-07,6.78106453994e-08,6.1491350297e-08
2019-12-01 15:44:59.019538,1.25550774796e-07,6.75529428853e-08,6.14693459132e-08
2019-12-01 15:59:59.019538,1.22258646103e-07,4.78041035276e-08,4.26316621842e-08
2019-12-01 16:14:59.019538,1.21726992567e-07,4.2708810994e-08,3.71303377362e-08
2019-12-01 16:29:59.019538,1.28200925167e-07,4.23775847733e-08,3.64768356404e-08
2019-12-01 16:44:59.019538,1.27936239431e-07,4.07032354692e-08,3.45768490946e-08
2019-12-01 16:59:59.019538,1.37060811734e-07,3.84167923264e-08,3.23224198594e-08
2019-12-01 17:14:59.019538,1.31977581719e-07,3.56460059576e-08,2.917190004e-08
2019-12-01 17:29:59.019538,1.3171449575e-07,3.60628807583e-08,2.97447118122e-08
2019-12-01 17:44:59.019538,1.31926213029e-07,4.44255490906e-08,3.5815850927e-08
2019-12-01 17:59:59.019538,1.25372578386e-07,4.01366978765e-08,3.30342503881e-08
2019-12-01 18:14:59.019538,1.37066348022e-07,3.18248383085e-08,2.53005771294e-08
2019-12-01 18:29:59.019538,1.34552648809e-07,3.12535901165e-08,2.50165522629e-08
2019-12-01 18:44:59.019538,1.26307185241e-07,3.41517361443e-08,2.71691199784e-08
2019-12-01 18:59:59.019538,1.35354890039e-07,6.4959956193e-08,4.83002323891e-08
2019-12-01 19:14:59.019538,1.36407687264e-07,6.05412434676e-08,4.50415943135e-08
2019-12-01 19:29:59.019538,1.40651611212e-07,4.72477564691e-08,4.08336609861e-08
2019-12-01 19:44:59.019538,1.54099206301e-07,5.41968619504e-08,4.78084922447e-08
2019-12-01 19:59:59.019538,1.35758275632e-07,5.64366461938e-08,4.93584430484e-08
2019-12-01 20:14:59.019538,1.43469813375e-07,7.07284739999e-08,6.20379208478e-08
2019-12-01 20:29:59.019538,1.51288466754e-07,7.60474098329e-08,6.54157565257e-08
2019-12-01 20:44:59.019538,1.54165080875e-07,8.91671401333e-08,7.90921046025e-08
2019-12-01 20:59:59.019538,1.64385169118e-07,1.10074166612e-07,9.71243794843e-08
2019-12-01 21:14:59.019538,1.66313024363e-07,1.16028565137e-07,1.00367510574e-07
2019-12-01 21:29:59.019538,1.6035435095e-07,1.29642906632e-07,1.19477441082e-07
2019-12-01 21:44:59.019538,1.49988952382e-07,1.45923794776e-07,1.35816528307e-07
2019-12-01 21:59:59.019538,1.57150562722e-07,1.90536105785e-07,1.79204255655e-07
2019-12-01 22:14:59.019538,1.54305613377e-07,2.71958794418e-07,2.57532654504e-07
2019-12-01 22:29:59.019538,1.63877328578e-07,2.93218439302e-07,2.78444616015e-07
2019-12-01 22:44:59.019538,1.78341820365e-07,3.05046407833e-07,2.91169167721e-07
2019-12-01 22:59:59.019538,1.81669383556e-07,2.78768249543e-07,2.59369596812e-07
2019-12-01 23:14:59.019538,1.89378541689e-07,2.64692119828e-07,2.46250660922e-07
2019-12-01 23:29:59.019538,1.94219891873e-07,2.89306446633e-07,2.68439430919e-07
2019-12-01 23:44:59.019538,1.75435603842e-07,3.24971184719e-07,3.05364833598e-07
2019-12-01 23:59:59.019538,1.71327268879e-07,2.94476585908e-07,2.73956375149e-07
2019-12-02 00:14:59.019539,1.76010211477e-07,5.05197736325e-07,4.85262474011e-07
2019-12-02 00:29:59.019539,1.79575022482e-07,4.32171662786e-07,4.05475015201e-07
2019-12-02 00:44:59.019539,1.75335299896e-07,2.83284959817e-07,2.36147669285e-07
2019-12-02 00:59:59.019539,1.69243885591e-07,3.0556046914e-07,2.58392844404e-07
2019-12-02 01:14:59.019539,1.75062516585e-07,3.10113101076e-07,2.70439094529e-07
2019-12-02 01:29:59.019539,1.77958821607e-07,3.04954206503e-07,2.65479696393e-07
2019-12-02 01:44:59.019539,1.88726207135e-07,3.51994335077e-07,3.14651473785e-07
2019-12-02 01:59:59.019539,1.83844419715e-07,3.55525543364e-07,3.23834309321e-07
2019-12-02 02:14:59.019539,1.68650980072e-07,3.55636226057e-07,3.24306475331e-07
2019-12-02 02:29:59.019539,1.92937341538e-07,3.60604672048e-07,3.27463648794e-07
2019-12-02 02:44:59.019539,1.90361411331e-07,3.98399313662e-07,3.53839039274e-07
2019-12-02 02:59:59.019539,2.00261517888e-07,3.64218657182e-07,3.30020338476e-07
2019-12-02 03:14:59.019539,2.13779504557e-07,3.09776069944e-07,2.81622614813e-07
2019-12-02 03:29:59.019539,1.99297632052e-07,3.21044895048e-07,2.86878501802e-07
2019-12-02 03:44:59.019539,2.09999130615e-07,3.01208783052e-07,2.65619289215e-07
2019-12-02 03:59:59.019539,2.03376181207e-07,3.07305065912e-07,2.72772284618e-07
2019-12-02 04:14:59.019539,1.94488144173e-07,2.92863701609e-07,2.58601145771e-07
2019-12-02 04:29:59.019539,2.02824278468e-07,2.94814688278e-07,2.57270827105e-07
2019-12-02 04:44:59.019539,1.99226270933e-07,3.01124853477e-07,2.58081510854e-07
2019-12-02 04:59:59.019539,2.76758915491e-07,3.03365142831e-07,2.51097007813e-07
2019-12-02 05:14:59.019539,2.28396516678e-07,2.68688328316e-07,2.21787908013e-07
2019-12-02 05:29:59.019539,2.20961192607e-07,3.13524353238e-07,2.66499123033e-07
2019-12-02 05:44:59.019539,2.19010076065e-07,3.50662497844e-07,3.03737176217e-07
2019-12-02 05:59:59.019539,2.25926088666e-07,3.21928427056e-07,2.6354444625e-07
2019-12-02 06:14:59.019539,2.20599287133e-07,3.26826361248e-07,2.64904692549e-07
2019-12-02 06:29:59.019539,2.14263767623e-07,3.20922817144e-07,2.46751676173e-07
2019-12-02 06:44:59.019539,2.20572273406e-07,3.00206978683e-07,2.25907624674e-07
2019-12-02 06:59:59.019539,2.27000552594e-07,2.83004652945e-07,2.22215949823e-07
2019-12-02 07:14:59.019539,2.21555357211e-07,3.09970515077e-07,2.50487954548e-07
2019-12-02 07:29:59.019539,2.38596985707e-07,3.13916496162e-07,2.54885984684e-07
2019-12-02 07:44:59.019539,2.14939050316e-07,3.31697712377e-07,2.76320493913e-07
2019-12-02 07:59:59.019539,2.28610431344e-07,3.54857181082e-07,2.95328168346e-07
2019-12-02 08:14:59.019539,2.25750114674e-07,3.73391692436e-07,3.09421304505e-07
2019-12-02 08:29:59.019539,2.15710686825e-07,3.74522916732e-07,3.09412036333e-07
2019-12-02 08:44:59.019539,2.1860241224e-07,3.52098933511e-07,2.94412698586e-07
2019-12-02 08:59:59.019539,1.95644186064e-07,2.95376184321e-07,2.43062867646e-07
2019-12-02 09:14:59.019539,2.1316377723e-07,3.24707925792e-07,2.73127870349e-07
2019-12-02 09:29:59.019539,2.33906526986e-07,3.01528029919e-07,2.49413264679e-07
2019-12-02 09:44:59.019539,2.14918412068e-07,2.84034924122e-07,2.25602799522e-07
2019-12-02 09:59:59.019539,2.22919046475e-07,2.98017054354e-07,2.44019651785e-07
2019-12-02 10:14:59.019539,2.2323021881e-07,2.78471922317e-07,2.24305145909e-07
2019-12-02 10:29:59.019539,2.21422751379e-07,2.45874460905e-07,1.86210128839e-07
2019-12-02 10:44:59.019539,2.17168560783e-07,2.31422236777e-07,1.75893723258e-07
2019-12-02 10:59:59.019539,2.21366396339e-07,2.18178387887e-07,1.62201736715e-07
2019-12-02 11:14:59.019539,2.14908402673e-07,2.36601655191e-07,1.88790530417e-07
2019-12-02 11:29:59.019539,2.09638049867e-07,2.32698533906e-07,1.89128941805e-07
2019-12-02 11:44:59.019539,2.12830993624e-07,1.74956452742e-07,1.27346430586e-07
2019-12-02 11:59:59.019539,2.00896603279e-07,1.89643928311e-07,1.51736445288e-07
2019-12-02 12:14:59.019539,2.12099193098e-07,1.74678380575e-07,1.46055924774e-07
2019-12-02 12:29:59.019539,2.11220840736e-07,1.4329452355e-07,1.05905143951e-07
2019-12-02 12:44:59.019539,2.14602291942e-07,1.58213953994e-07,1.1975673804e-07
2019-12-02 12:59:59.019539,2.20422098616e-07,1.57514764825e-07,1.19909498405e-07
2019-12-02 13:14:59.019539,2.32089438818e-07,5.19533625604e-07,4.11912369006e-07
2019-12-02 13:29:59.019539,2.17264507326e-07,2.89119820645e-07,2.32803342563e-07
2019-12-02 13:44:59.019539,1.98353174363e-07,9.6179887891e-08,7.45416030587e-08
2019-12-02 13:59:59.019539,1.95459691315e-07,9.94706602107e-08,6.96162043394e-08
2019-12-02 14:14:59.019539,2.02359260307e-07,1.0462654733e-07,7.58452429248e-08
2019-12-02 14:29:59.019539,2.09189810486e-07,1.09751957188e-07,7.7546436754e-08
2019-12-02 14:44:59.019539,2.26303796743e-07,1.14250243171e-07,6.89834214095e-08
2019-12-02 14:59:59.019539,2.4784238678e-07,1.25290009909e-07,6.58030681548e-08
2019-12-02 15:14:59.019539,2.43326147124e-07,1.30208177225e-07,6.05754953853e-08
2019-12-02 15:29:59.019539,2.26027981523e-07,1.11355829908e-07,4.79346367568e-08
2019-12-02 15:44:59.019539,2.29246211603e-07,1.03472855594e-07,4.99665077511e-08
2019-12-02 15:59:59.019539,2.14674380595e-07,8.99602214591e-08,4.9388719647e-08
2019-12-02 16:14:59.019539,2.04381602143e-07,7.22290117473e-08,4.39649480686e-08
2019-12-02 16:29:59.019539,1.92923349576e-07,5.72424433263e-08,3.75721610219e-08
2019-12-02 16:44:59.019539,1.97720507675e-07,5.49366807878e-08,4.01079855591e-08
2019-12-02 16:59:59.019539,1.88480309201e-07,6.07938607779e-08,4.0810125409e-08
2019-12-02 17:14:59.019539,1.75776470984e-07,5.6927478237e-08,3.76357400862e-08
2019-12-02 17:29:59.019539,1.78198621175e-07,4.50374656031e-08,3.51847502787e-08
2019-12-02 17:44:59.019539,1.95499214409e-07,4.42603968293e-08,3.47350927396e-08
2019-12-02 17:59:59.019539,1.72806208537e-07,3.78450346805e-08,2.99461603377e-08
2019-12-02 18:14:59.019539,1.70545965928e-07,3.71277200572e-08,3.06707405755e-08
2019-12-02 18:29:59.019539,1.7221040341e-07,3.79741056695e-08,3.1942089462e-08
2019-12-02 18:44:59.019539,1.68314046212e-07,5.65621576059e-08,4.51893560077e-08
2019-12-02 18:59:59.019539,1.60750364163e-07,6.91298536999e-08,5.30800897422e-08
2019-12-02 19:14:59.019539,1.62924262624e-07,4.93295110786e-08,3.8302453879e-08
2019-12-02 19:29:59.019539,1.64666210253e-07,4.97739084557e-08,3.50601789934e-08
2019-12-02 19:44:59.019539,1.55499972261e-07,6.68327796196e-08,4.99576474538e-08
2019-12-02 19:59:59.019539,1.64114577432e-07,6.74318658431e-08,5.24557412645e-08
2019-12-02 20:14:59.019539,1.61492252863e-07,6.65123852158e-08,5.46259637575e-08
2019-12-02 20:29:59.019539,1.57210909978e-07,6.83580932907e-08,5.95149108423e-08
2019-12-02 20:44:59.019539,1.52697698209e-07,1.48071249287e-07,1.34523804441e-07
2019-12-02 20:59:59.019539,1.58148592274e-07,1.82677773499e-07,1.70148330823e-07
