,4.0-14.0
2019-12-04 15:00:00,1.56316396893e-08
2019-12-04 15:15:00,1.58681192386e-08
2019-12-04 15:30:00,1.57678770407e-08
2019-12-04 15:45:00,1.575907864e-08
2019-12-04 16:00:00,1.5218504545e-08
2019-12-04 16:15:00,1.52729160741e-08
2019-12-04 16:30:00,1.52064906055e-08
2019-12-04 16:45:00,1.54293951658e-08
2019-12-04 17:00:00,1.59769253534e-08
2019-12-04 17:15:00,1.57542157519e-08
2019-12-04 17:30:00,1.52650966573e-08
2019-12-04 17:45:00,1.49120733077e-08
2019-12-04 18:00:00,
2019-12-04 18:15:00,1.50494106837e-08
2019-12-04 18:30:00,1.42927989006e-08
2019-12-04 18:45:00,1.44491200836e-08
2019-12-04 19:00:00,1.41016852684e-08
2019-12-04 19:15:00,1.42061294695e-08
2019-12-04 19:30:00,1.35242221217e-08
2019-12-04 19:45:00,1.38739682193e-08
2019-12-04 20:00:00,1.40437373444e-08
2019-12-04 20:15:00,1.37129976472e-08
2019-12-04 20:30:00,1.32984811352e-08
2019-12-04 20:45:00,1.24432214811e-08
2019-12-04 21:00:00,1.24035963755e-08
2019-12-04 21:15:00,1.24411801227e-08
2019-12-04 21:30:00,1.20900284292e-08
2019-12-04 21:45:00,9.75879124426e-09
2019-12-04 22:00:00,8.51635066315e-09
2019-12-04 22:15:00,9.47794807441e-09
2019-12-04 22:30:00,8.4124859147e-09
2019-12-04 22:45:00,7.98522363414e-09
2019-12-04 23:00:00,7.13719559056e-09
2019-12-04 23:15:00,8.06656420168e-09
2019-12-04 23:30:00,8.73661459411e-09
2019-12-04 23:45:00,7.17780271838e-09
2019-12-05 00:00:00,5.65481013852e-09
2019-12-05 00:15:00,4.58769111768e-09
2019-12-05 00:30:00,4.44592821926e-09
2019-12-05 00:45:00,4.12456074324e-09
2019-12-05 01:00:00,4.15374976768e-09
2019-12-05 01:15:00,4.30336365306e-09
2019-12-05 01:30:00,4.02033279229e-09
2019-12-05 01:45:00,3.94685952818e-09
2019-12-05 02:00:00,3.8962420791e-09
