,1.0-20.0,4.0-14.0,4.0-40.0
2019-12-25 13:30:00.005000,5.56280766079e-08,1.65984655287e-08,1.76524821804e-08
2019-12-25 13:45:00.005000,4.94985097108e-08,1.42913424498e-08,1.50428025597e-08
2019-12-25 14:00:00.005000,5.11596703842e-08,1.39137189172e-08,1.43648522197e-08
2019-12-25 14:15:00.005000,5.15876705348e-08,1.35237553119e-08,1.39790558057e-08
2019-12-25 14:30:00.005000,4.8297618044e-08,1.28376823159e-08,1.32561976625e-08
2019-12-25 14:45:00.005000,4.22661205382e-08,1.09756977252e-08,1.14488927617e-08
2019-12-25 15:00:00.005000,4.00346159278e-08,9.87234852428e-09,1.03560027125e-08
2019-12-25 15:15:00.005000,4.53784162032e-08,1.25012765636e-08,1.32352208606e-08
2019-12-25 15:30:00.005000,4.89510388861e-08,1.45022147704e-08,1.55048131141e-08
2019-12-25 15:45:00.005000,4.43299708631e-08,1.0543578901e-08,1.11604730237e-08
2019-12-25 16:00:00.005000,5.51252394665e-08,1.12792631339e-08,1.19506743616e-08
2019-12-25 16:15:00.005000,5.14637596641e-08,1.21195781407e-08,1.27436633729e-08
2019-12-25 16:30:00.005000,3.69002747602e-08,1.06123005185e-08,1.10169741715e-08
2019-12-25 16:45:00.005000,4.49914573515e-08,9.0520558044e-09,9.43355761418e-09
2019-12-25 17:00:00.005000,4.25589237511e-08,1.04952873097e-08,1.09942933818e-08
2019-12-25 17:15:00.005000,5.8125957834e-08,1.60256616062e-08,1.66208842062e-08
2019-12-25 17:30:00.005000,4.87819570996e-08,1.12273231803e-08,1.15154146437e-08
2019-12-25 17:45:00.005000,3.98592683146e-08,8.73452293051e-09,8.95097673118e-09
2019-12-25 18:00:00.005000,3.46188980446e-08,7.71254465804e-09,7.92738080592e-09
2019-12-25 18:15:00.005000,3.61709326468e-08,8.03407643155e-09,8.25515738306e-09
2019-12-25 18:30:00.005000,3.66614615176e-08,6.89012715916e-09,7.13238799456e-09
2019-12-25 18:45:00.005000,3.70982868827e-08,7.49211097939e-09,7.72095375824e-09
2019-12-25 19:00:00.005000,3.74568569166e-08,7.70345339788e-09,7.92127291677e-09
2019-12-25 19:15:00.005000,3.72337580847e-08,7.48751945729e-09,7.73324636415e-09
2019-12-25 19:30:00.005000,3.53429202319e-08,7.58101722615e-09,7.85055534429e-09
2019-12-25 19:45:00.005000,3.71052784105e-08,8.16636008745e-09,8.38626184721e-09
2019-12-25 20:00:00.005000,4.6310190801e-08,1.01644709299e-08,1.04507928839e-08
2019-12-25 20:15:00.005000,4.14053182729e-08,1.00187036808e-08,1.02787704612e-08
2019-12-25 20:30:00.005000,4.52532782395e-08,1.27371019584e-08,1.30782152063e-08
2019-12-25 20:45:00.005000,5.09977009561e-08,1.53049076279e-08,1.56644450273e-08
2019-12-25 21:00:00.005000,5.44473965382e-08,1.52522751191e-08,1.55992115991e-08
2019-12-25 21:15:00.005000,5.38260450757e-08,1.56974835148e-08,1.61492601243e-08
2019-12-25 21:30:00.005000,5.73895789901e-08,1.77594093373e-08,1.82547778612e-08
2019-12-25 21:45:00.005000,6.84832702838e-08,2.68469589902e-08,2.73193632863e-08
2019-12-25 22:00:00.005000,6.1912779983e-08,2.19127172872e-08,2.25511918213e-08
2019-12-25 22:15:00.005000,6.23560279154e-08,1.95213537391e-08,2.02526411048e-08
2019-12-25 22:30:00.005000,6.70205477999e-08,2.06212234112e-08,2.13956492793e-08
2019-12-25 22:45:00.005000,6.88812068779e-08,2.24698439405e-08,2.3256800375e-08
2019-12-25 23:00:00.005000,6.87676351515e-08,2.38298222296e-08,2.46376115141e-08
2019-12-25 23:15:00.005000,7.00466230605e-08,2.24431392862e-08,2.32764835832e-08
2019-12-25 23:30:00.005000,7.12666154551e-08,2.35641002193e-08,2.43625777895e-08
2019-12-25 23:45:00.005000,7.15682425384e-08,2.71105862823e-08,2.77669516468e-08
2019-12-26 00:00:00.005000,7.09422581916e-08,2.3096275379e-08,2.3811087962e-08
2019-12-26 00:15:00.005000,8.50123923176e-08,2.19987093336e-08,2.27210298676e-08
2019-12-26 00:30:00.005000,8.46811233489e-08,2.07709484926e-08,2.14898597207e-08
2019-12-26 00:45:00.005000,6.63703393189e-08,2.08909855081e-08,2.15606308264e-08
2019-12-26 01:00:00.005000,6.42439149716e-08,2.24548869509e-08,2.31788495454e-08
2019-12-26 01:15:00.005000,6.42279836001e-08,2.26624022102e-08,2.33251657936e-08
2019-12-26 01:30:00.005000,6.61819669611e-08,2.33684660924e-08,2.39663848196e-08
2019-12-26 01:45:00.005000,6.73692481644e-08,2.27188213989e-08,2.35122801153e-08
2019-12-26 02:00:00.005000,6.4257905818e-08,2.29333079799e-08,2.3723158489e-08
2019-12-26 02:15:00.005000,6.20051363917e-08,2.17101240262e-08,2.22968116502e-08
2019-12-26 02:30:00.005000,5.80078639556e-08,2.08194651147e-08,2.13996494541e-08
2019-12-26 02:45:00.005000,5.71652263814e-08,2.03542629466e-08,2.09320110654e-08
2019-12-26 03:00:00.005000,5.91845657438e-08,2.10158053944e-08,2.16318687661e-08
2019-12-26 03:15:00.005000,5.66395212417e-08,1.96070144619e-08,2.01956647864e-08
2019-12-26 03:30:00.005000,5.87394013471e-08,1.94864582907e-08,2.01323646643e-08
2019-12-26 03:45:00.005000,6.30277511636e-08,1.98109302272e-08,2.08788174471e-08
2019-12-26 04:00:00.005000,6.24436362295e-08,2.04490024974e-08,2.13554819273e-08
2019-12-26 04:15:00.005000,6.71563225421e-08,2.40679032655e-08,2.52188069123e-08
2019-12-26 04:30:00.005000,6.98836955457e-08,2.3507618486e-08,2.46116209886e-08
2019-12-26 04:45:00.005000,6.68854353727e-08,2.23485833894e-08,2.29981971242e-08
2019-12-26 05:00:00.005000,6.33114154483e-08,2.13300922979e-08,2.19761554257e-08
2019-12-26 05:15:00.005000,6.18011958399e-08,2.10789281527e-08,2.18976446844e-08
2019-12-26 05:30:00.005000,5.95534188416e-08,1.95338074269e-08,2.02497280627e-08
2019-12-26 05:45:00.005000,5.555470546e-08,1.79918326091e-08,1.85042811784e-08
2019-12-26 06:00:00.005000,5.57958727384e-08,1.78513280507e-08,1.83977338433e-08
2019-12-26 06:15:00.005000,5.63380977799e-08,1.9231444352e-08,1.98579715657e-08
2019-12-26 06:30:00.005000,5.60853402147e-08,1.91477938142e-08,1.98116450507e-08
2019-12-26 06:45:00.005000,5.48648011847e-08,1.76991911328e-08,1.83115279972e-08
2019-12-26 07:00:00.005000,5.86584075636e-08,1.95887604376e-08,2.02303754337e-08
2019-12-26 07:15:00.005000,6.5302597087e-08,2.12805260151e-08,2.20967291377e-08
2019-12-26 07:30:00.005000,5.93581198237e-08,1.90172900449e-08,1.99992368695e-08
2019-12-26 07:45:00.005000,5.63537925852e-08,1.8365936007e-08,1.93041529655e-08
2019-12-26 08:00:00.005000,5.7244526266e-08,1.92652094606e-08,1.99930764882e-08
2019-12-26 08:15:00.005000,5.98014074675e-08,2.13291468395e-08,2.22445671981e-08
2019-12-26 08:30:00.005000,5.80480755159e-08,1.97582078594e-08,2.06889655879e-08
2019-12-26 08:45:00.005000,6.02146195003e-08,2.07713307034e-08,2.15933903059e-08
2019-12-26 09:00:00.005000,6.10083924049e-08,2.00091236095e-08,2.07561549588e-08
2019-12-26 09:15:00.005000,6.03731791692e-08,2.01862782026e-08,2.09850695072e-08
2019-12-26 09:30:00.005000,5.97868233788e-08,1.90187975103e-08,1.98331888672e-08
2019-12-26 09:45:00.005000,5.89836387505e-08,1.8112711696e-08,1.87697959402e-08
2019-12-26 10:00:00.005000,6.56463547845e-08,1.98500729083e-08,2.10120257067e-08
2019-12-26 10:15:00.005000,6.58443806599e-08,1.9497329649e-08,2.06531926275e-08
2019-12-26 10:30:00.005000,6.30954433343e-08,1.77742567173e-08,1.87583640735e-08
2019-12-26 10:45:00.005000,6.19826304536e-08,1.84567519864e-08,1.95021806422e-08
2019-12-26 11:00:00.005000,5.98677935673e-08,1.66987330151e-08,1.74494107682e-08
2019-12-26 11:15:00.005000,5.95320182877e-08,1.81176731901e-08,1.88082569088e-08
2019-12-26 11:30:00.005000,5.66561103901e-08,1.77246193855e-08,1.82831459192e-08
2019-12-26 11:45:00.005000,6.20684225972e-08,2.08750134682e-08,2.22579094923e-08
2019-12-26 12:00:00.005000,6.00491892108e-08,1.92470424639e-08,2.02914591631e-08
2019-12-26 12:15:00.005000,5.87136537934e-08,1.75675395871e-08,1.81847996619e-08
2019-12-26 12:30:00.005000,6.17932491948e-08,1.75762036e-08,1.81508851674e-08
2019-12-26 12:45:00.005000,6.62216227561e-08,1.67498885893e-08,1.72908447532e-08
2019-12-26 13:00:00.005000,6.61566176494e-08,1.53541285653e-08,1.5952701047e-08
2019-12-26 13:15:00.005000,6.1793783135e-08,1.51792769971e-08,1.5785965782e-08
2019-12-26 13:30:00.005000,5.50040742863e-08,1.32128088152e-08,1.37180708739e-08
2019-12-26 13:45:00.005000,5.49759894118e-08,1.33856541969e-08,1.39616928367e-08
2019-12-26 14:00:00.005000,5.74760923728e-08,1.35718385061e-08,1.418907616e-08
2019-12-26 14:15:00.005000,5.49401768282e-08,1.22362190988e-08,1.272116927e-08
2019-12-26 14:30:00.005000,5.10868768689e-08,1.18288516394e-08,1.22594429427e-08
2019-12-26 14:45:00.005000,5.05787157833e-08,1.08830481372e-08,1.12214472483e-08
2019-12-26 15:00:00.005000,5.65640320201e-08,1.05985646723e-08,1.09623463263e-08
2019-12-26 15:15:00.005000,6.08351678909e-08,1.04296489573e-08,1.07990867203e-08
2019-12-26 15:30:00.005000,5.97667169435e-08,1.33568390789e-08,1.41605282908e-08
2019-12-26 15:45:00.005000,6.37929707147e-08,1.71102117322e-08,1.80323944905e-08
2019-12-26 16:00:00.005000,5.35602073108e-08,1.11865099413e-08,1.15244352644e-08
2019-12-26 16:15:00.005000,4.72040793227e-08,7.74447720366e-09,7.9982315294e-09
2019-12-26 16:30:00.005000,4.74502043097e-08,8.17026092935e-09,8.3956408624e-09
2019-12-26 16:45:00.005000,6.07502997359e-08,1.40880663299e-08,1.43847897224e-08
2019-12-26 17:00:00.005000,1.13229260758e-07,1.47502489484e-08,1.51157626386e-08
2019-12-26 17:15:00.005000,1.37559585013e-07,1.42213032373e-08,1.46964232696e-08
2019-12-26 17:30:00.005000,1.30969155377e-07,1.45576326066e-08,1.50669176315e-08
2019-12-26 17:45:00.005000,1.17177399176e-07,8.48742055289e-09,8.95737205562e-09
2019-12-26 18:00:00.005000,1.19014669234e-07,8.28205928476e-09,8.77388232867e-09
2019-12-26 18:15:00.005000,1.06396031803e-07,9.6703739148e-09,1.007490837e-08
2019-12-26 18:30:00.005000,9.3365807349e-08,9.25957042877e-09,9.62550179918e-09
2019-12-26 18:45:00.005000,7.9366100397e-08,7.90364550798e-09,8.1556854306e-09
2019-12-26 19:00:00.005000,6.60807253552e-08,8.13471754815e-09,8.38210607078e-09
2019-12-26 19:15:00.005000,4.81696793128e-08,8.31819740642e-09,8.53039053919e-09
2019-12-26 19:30:00.005000,4.41146954523e-08,8.48833795193e-09,8.72657830977e-09
2019-12-26 19:45:00.005000,4.26814378028e-08,9.05385923034e-09,9.23990204998e-09
2019-12-26 20:00:00.005000,4.59359594194e-08,1.0602053367e-08,1.08041134823e-08
2019-12-26 20:15:00.005000,4.97337157579e-08,1.10134008405e-08,1.12671617313e-08
2019-12-26 20:30:00.005000,5.59320747232e-08,1.25316694084e-08,1.28522123872e-08
2019-12-26 20:45:00.005000,6.37786606117e-08,1.49849789475e-08,1.5349198348e-08
2019-12-26 21:00:00.005000,6.41743269927e-08,1.65686851752e-08,1.69186415602e-08
2019-12-26 21:15:00.005000,6.71463093566e-08,1.82259815887e-08,1.86689264577e-08
2019-12-26 21:30:00.005000,6.03428296786e-08,1.69502464505e-08,1.73874937444e-08
2019-12-26 21:45:00.005000,5.76882503751e-08,1.71506093182e-08,1.77371225029e-08
2019-12-26 22:00:00.005000,6.02245158319e-08,1.80198149638e-08,1.86223660887e-08
2019-12-26 22:15:00.005000,6.96108060004e-08,2.01923679828e-08,2.08609116698e-08
2019-12-26 22:30:00.005000,7.32523093275e-08,2.28130004538e-08,2.3525879675e-08
2019-12-26 22:45:00.005000,7.69418311492e-08,2.49833937745e-08,2.55999867275e-08
2019-12-26 23:00:00.005000,7.94686864767e-08,2.3991694806e-08,2.47025750877e-08
2019-12-26 23:15:00.005000,7.46157105096e-08,2.31034039875e-08,2.38481954995e-08
2019-12-26 23:30:00.005000,7.94332987027e-08,2.29434077047e-08,2.35815852797e-08
2019-12-27 00:00:00.004999,9.65777799233e-08,2.35360717912e-08,2.42010645697e-08
2019-12-27 00:15:00.004999,7.63842683644e-08,2.17407585012e-08,2.24436553214e-08
2019-12-27 00:30:00.004999,7.1495574333e-08,2.19667197188e-08,2.28774676607e-08
2019-12-27 00:45:00.004999,7.48763896598e-08,2.35369690671e-08,2.48257278947e-08
2019-12-27 01:00:00.004999,7.43212460266e-08,2.40944788288e-08,2.53432602931e-08
2019-12-27 01:15:00.004999,6.72183110856e-08,2.18626166949e-08,2.23938640897e-08
2019-12-27 01:30:00.004999,6.87454191264e-08,2.22117489328e-08,2.28063949737e-08
2019-12-27 01:45:00.004999,7.02816662885e-08,2.21708452013e-08,2.28715438484e-08
2019-12-27 02:00:00.004999,6.7931222178e-08,2.00507018743e-08,2.07740474633e-08
2019-12-27 02:15:00.004999,6.77245995139e-08,2.1831422286e-08,2.26857163976e-08
2019-12-27 02:30:00.004999,6.58769712635e-08,2.08197862992e-08,2.15881758889e-08
2019-12-27 02:45:00.004999,6.7954184504e-08,2.14007783071e-08,2.20513399835e-08
2019-12-27 03:00:00.004999,6.81914063109e-08,2.29728803609e-08,2.36383612574e-08
2019-12-27 03:15:00.004999,6.62850907311e-08,2.03818705802e-08,2.10238677046e-08
2019-12-27 03:30:00.004999,6.4659318054e-08,1.8887679098e-08,1.94856594468e-08
2019-12-27 03:45:00.004999,6.18632409144e-08,1.83644832263e-08,1.90136396163e-08
2019-12-27 04:00:00.004999,6.25921536819e-08,1.90436947007e-08,1.98142682381e-08
2019-12-27 04:15:00.004999,6.61727560557e-08,2.07462605853e-08,2.15121920067e-08
2019-12-27 04:30:00.004999,6.75095390349e-08,2.07488766361e-08,2.13617652055e-08
2019-12-27 04:45:00.004999,6.87374976881e-08,2.19782284e-08,2.25372760126e-08
2019-12-27 05:00:00.004999,6.77412590354e-08,2.18586186707e-08,2.24054978741e-08
2019-12-27 05:15:00.004999,7.01020578192e-08,2.04788268243e-08,2.11203884124e-08
2019-12-27 05:30:00.004999,7.23276949601e-08,1.94266303224e-08,2.00535299711e-08
2019-12-27 05:45:00.004999,7.59124502285e-08,1.85968669031e-08,1.92241745438e-08
2019-12-27 06:00:00.004999,7.19730597393e-08,1.78200221291e-08,1.85225545885e-08
2019-12-27 06:15:00.004999,6.45341471101e-08,1.76339680812e-08,1.82464883252e-08
2019-12-27 06:30:00.004999,6.62430133408e-08,1.79110808174e-08,1.85159490954e-08
2019-12-27 06:45:00.004999,6.55187313679e-08,1.93971502131e-08,2.00721464202e-08
2019-12-27 07:00:00.004999,5.98679352685e-08,1.88314178164e-08,1.95411786478e-08
2019-12-27 07:15:00.004999,5.91678566765e-08,1.82753761145e-08,2.00466256907e-08
2019-12-27 07:30:00.004999,5.91566687006e-08,1.81975100107e-08,1.95955658488e-08
2019-12-27 07:45:00.004999,6.02080568388e-08,1.96220564042e-08,2.02932257445e-08
2019-12-27 08:00:00.004999,5.97141787941e-08,1.96693507183e-08,2.03820598882e-08
2019-12-27 08:15:00.004999,5.80512070927e-08,1.90247355054e-08,1.9869127654e-08
2019-12-27 08:30:00.004999,6.69067244117e-08,2.0709255069e-08,2.16119238074e-08
2019-12-27 08:45:00.004999,6.73903537875e-08,2.11618478277e-08,2.19894549218e-08
2019-12-27 09:00:00.004999,5.90168604878e-08,1.98320657994e-08,2.06616453104e-08
2019-12-27 09:15:00.004999,5.83127582837e-08,1.93081297267e-08,2.02241996636e-08
2019-12-27 09:30:00.004999,5.80794489743e-08,1.87790609419e-08,1.95165797436e-08
2019-12-27 09:45:00.004999,6.13429649219e-08,1.91561368679e-08,1.98775995491e-08
2019-12-27 10:00:00.004999,6.45407537144e-08,1.89712099163e-08,1.97510515749e-08
2019-12-27 10:15:00.004999,6.5951287826e-08,1.97639773386e-08,2.03871700801e-08
2019-12-27 10:30:00.004999,6.07177961121e-08,1.88707077211e-08,1.95427991292e-08
2019-12-27 10:45:00.004999,5.82879424794e-08,1.89947568874e-08,1.9634881831e-08
2019-12-27 11:00:00.004999,5.68365825162e-08,1.68721937965e-08,1.75619251677e-08
2019-12-27 11:15:00.004999,6.89314896548e-08,2.19215061727e-08,2.28440750802e-08
2019-12-27 11:30:00.004999,7.57625356043e-08,2.30396345472e-08,2.38960564684e-08
2019-12-27 11:45:00.004999,6.96546520762e-08,2.32588310624e-08,2.38152702276e-08
2019-12-27 12:00:00.004999,6.01098904414e-08,2.22231461507e-08,2.27249323066e-08
2019-12-27 12:15:00.004999,5.74872457214e-08,1.89995434785e-08,1.97712084033e-08
2019-12-27 12:30:00.004999,5.69992346929e-08,1.73912942497e-08,1.82231448772e-08
2019-12-27 12:45:00.004999,5.44960280724e-08,1.89111651595e-08,1.92892376444e-08
2019-12-27 13:00:00.004999,5.21105290692e-08,1.84996115992e-08,1.88935477015e-08
2019-12-27 13:15:00.004999,5.18665386476e-08,1.75199163186e-08,1.80053587354e-08
2019-12-27 13:30:00.004999,5.09731874388e-08,1.44345230081e-08,1.5039514052e-08
2019-12-27 13:45:00.004999,4.74718437583e-08,1.32326287753e-08,1.37210558229e-08
2019-12-27 14:00:00.004999,4.882443187e-08,1.304934832e-08,1.35522780753e-08
2019-12-27 14:15:00.004999,4.93622676095e-08,1.26290945973e-08,1.31788997428e-08
