,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0,10.0-30.0
2020-04-21 02:59:59.000000,3.65733443307e-07,7.00863032983e-09,1.84735415342e-09,6.3580327413e-09,3.23949216847e-08
2020-04-21 03:14:59.000000,3.68812861746e-07,7.11181039074e-09,2.233720102e-09,6.56307482701e-09,3.21926318246e-08
2020-04-21 03:29:59.000000,3.50930138065e-07,7.07446631554e-09,2.03540340165e-09,6.43648297586e-09,2.97074901259e-08
2020-04-21 03:44:59.000000,3.50779025815e-07,7.40761864939e-09,2.48971031149e-09,6.46325444862e-09,3.15091935175e-08
2020-04-21 03:59:59.000000,3.648316023e-07,7.47757906483e-09,2.55305014312e-09,6.5409656582e-09,3.27790067984e-08
2020-04-21 04:14:59.000000,3.51538042695e-07,6.92902598164e-09,1.76639744029e-09,6.23829850092e-09,3.18059261221e-08
2020-04-21 04:29:59.000000,3.61499196123e-07,6.52110424546e-09,1.52276877283e-09,5.99138887661e-09,3.04270331835e-08
2020-04-21 04:44:59.000000,3.5881248957e-07,6.70506289133e-09,1.57747236912e-09,6.08125802557e-09,3.19107767773e-08
2020-04-21 04:59:59.000000,3.59016860918e-07,6.93384439846e-09,1.89772491117e-09,5.99933442422e-09,2.9803043479e-08
2020-04-21 05:14:59.000000,3.71906011881e-07,6.66717819902e-09,1.60249579253e-09,6.01950704208e-09,3.20024532455e-08
2020-04-21 05:29:59.000000,3.7995649399e-07,6.94484407815e-09,1.52534744546e-09,6.39148136038e-09,3.42954711474e-08
2020-04-21 05:44:59.000000,3.75649110274e-07,6.96649227501e-09,1.95955155307e-09,6.24367531036e-09,3.18292460587e-08
2020-04-21 05:59:59.000000,3.87135878452e-07,7.05111658961e-09,2.22166904571e-09,6.22916419907e-09,3.00049761011e-08
2020-04-21 06:14:59.000000,3.76063832666e-07,6.95271090348e-09,1.87076968722e-09,6.22548462116e-09,3.08393780069e-08
2020-04-21 06:29:59.000000,3.77294316749e-07,7.14403948057e-09,1.97578500157e-09,6.33861997615e-09,3.24771932843e-08
2020-04-21 06:44:59.000000,3.73156340305e-07,7.29460666473e-09,2.25213654701e-09,6.11258824173e-09,3.21763546524e-08
2020-04-21 06:59:59.000000,3.73601347168e-07,7.2046909854e-09,1.99091887256e-09,6.18819550235e-09,2.99321083177e-08
2020-04-21 07:14:59.000000,3.60181986137e-07,7.08255374329e-09,2.00037031922e-09,6.24734532134e-09,2.98376739991e-08
2020-04-21 07:29:59.000000,3.60015429469e-07,7.36774728717e-09,2.30257577149e-09,6.26772222297e-09,2.95520195844e-08
2020-04-21 07:44:59.000000,3.84661641664e-07,7.58063296423e-09,2.23241551712e-09,6.41992555954e-09,3.17019103596e-08
2020-04-21 07:59:59.000000,3.98833076804e-07,7.43991732423e-09,2.11934407731e-09,6.4889497638e-09,3.14816269898e-08
2020-04-21 08:14:59.000000,3.83263104266e-07,7.40890841774e-09,2.21977883874e-09,6.54370227412e-09,3.18632645832e-08
2020-04-21 08:29:59.000000,3.97322991045e-07,6.94915380327e-09,1.97998714453e-09,6.14589878918e-09,2.90038006819e-08
2020-04-21 08:44:59.000000,3.95568687276e-07,6.66457687778e-09,1.84384886071e-09,5.91852056002e-09,2.67490848125e-08
2020-04-21 08:59:59.000000,3.81820899652e-07,7.04285162909e-09,1.98523883119e-09,6.11452617839e-09,2.91163254228e-08
2020-04-21 09:14:59.000000,3.54573640059e-07,8.06539300573e-09,2.08017102516e-09,6.15620835257e-09,3.15235726355e-08
2020-04-21 09:29:59.000000,3.71789797878e-07,7.80593888309e-09,2.18714263655e-09,6.25946010904e-09,2.93748840648e-08
2020-04-21 09:44:59.000000,3.95119424055e-07,7.59577818904e-09,2.48971482987e-09,6.32465799449e-09,2.87948041942e-08
2020-04-21 09:59:59.000000,3.91788117167e-07,7.82130387718e-09,2.50224375069e-09,6.41724483821e-09,3.05990308552e-08
2020-04-21 10:14:59.000000,3.67222548486e-07,8.56837563928e-09,2.84909915987e-09,6.55898571995e-09,3.1359789532e-08
2020-04-21 10:29:59.000000,3.45990989416e-07,8.65123992239e-09,2.988145717e-09,6.57079842313e-09,3.07538535677e-08
2020-04-21 10:44:59.000000,3.59554173794e-07,8.57937093527e-09,2.6961604681e-09,6.51731964659e-09,3.29450225291e-08
2020-04-21 10:59:59.000000,3.78725593547e-07,9.05135925684e-09,3.09620169619e-09,6.78709652681e-09,3.23097846898e-08
2020-04-21 11:14:59.000000,3.98085898638e-07,9.16973264539e-09,3.05034852288e-09,6.71321868317e-09,3.14051083859e-08
2020-04-21 11:29:59.000000,3.90572713807e-07,9.55147573648e-09,3.15041149825e-09,6.62235229044e-09,3.15504089965e-08
2020-04-21 11:44:59.000000,3.63104186503e-07,9.20633068271e-09,3.10694266881e-09,6.75490753498e-09,3.17746698861e-08
2020-04-21 11:59:59.000000,3.72147432497e-07,8.79407601496e-09,3.11121808513e-09,6.75863921882e-09,3.02823402913e-08
2020-04-21 12:14:59.000000,3.56063108843e-07,9.11544437574e-09,3.2338299281e-09,6.7596840753e-09,3.00887516523e-08
2020-04-21 12:29:59.000000,3.64377419666e-07,9.97931179109e-09,4.05158506082e-09,7.29523538279e-09,3.05568394752e-08
2020-04-21 12:44:59.000000,3.59089769078e-07,9.3546891416e-09,3.92327760787e-09,7.07360440079e-09,2.97591851677e-08
2020-04-21 12:59:59.000000,3.47048488619e-07,9.28156994579e-09,3.48629439505e-09,6.96413896089e-09,3.15672013244e-08
2020-04-21 13:14:59.000000,3.42995221926e-07,9.55406570467e-09,3.67583080092e-09,7.16167342936e-09,3.40600281835e-08
2020-04-21 13:29:59.000000,3.50611557763e-07,9.4689597043e-09,3.86495339686e-09,7.22870364429e-09,3.25915072205e-08
2020-04-21 13:44:59.000000,3.45588934153e-07,9.01230626451e-09,3.62303018506e-09,6.79175859988e-09,2.9501102105e-08
2020-04-21 13:59:59.000000,3.44666160046e-07,9.36950192915e-09,3.48440852993e-09,6.91634870759e-09,3.15341421837e-08
2020-04-21 14:14:59.000000,3.277890494e-07,9.77981558253e-09,3.80312356901e-09,7.17345607794e-09,3.28310314355e-08
2020-04-21 14:29:59.000000,3.22304588981e-07,9.78709903504e-09,3.99939264927e-09,7.15179878229e-09,3.19882441963e-08
2020-04-21 14:44:59.000000,3.45232718455e-07,9.84054786252e-09,3.95475581013e-09,7.12577800775e-09,2.94738256186e-08
2020-04-21 14:59:59.000000,3.08500641872e-07,9.47059737406e-09,3.53495579103e-09,7.15691492572e-09,3.22890895379e-08
2020-04-21 15:14:59.000000,3.31776570814e-07,9.65722325468e-09,3.83264585937e-09,7.31428551156e-09,3.22033592039e-08
2020-04-21 15:29:59.000000,3.53277905689e-07,9.36415338656e-09,3.94056818374e-09,7.25446418182e-09,3.1276851773e-08
2020-04-21 15:44:59.000000,3.32859755869e-07,9.61100528703e-09,4.05155993248e-09,7.1404511338e-09,3.15135507755e-08
2020-04-21 15:59:59.000000,3.36039752457e-07,9.59739994729e-09,3.79846989381e-09,6.96226611357e-09,3.07929009482e-08
2020-04-21 16:14:59.000000,3.28566917687e-07,8.93507708099e-09,3.54196618301e-09,6.7552021144e-09,3.13982796308e-08
2020-04-21 16:29:59.000000,3.1360803441e-07,8.76157250938e-09,3.50857223018e-09,6.84151147446e-09,3.08394302338e-08
2020-04-21 16:44:59.000000,3.20401800955e-07,9.28657768162e-09,4.15978046299e-09,7.29852444528e-09,3.13616240759e-08
2020-04-21 16:59:59.000000,3.39134793864e-07,1.00280024004e-08,4.36804285773e-09,7.42450543559e-09,3.26613038575e-08
2020-04-21 17:14:59.000000,3.23473480473e-07,9.56264364465e-09,4.01199499688e-09,7.05273003934e-09,3.15197408768e-08
2020-04-21 17:29:59.000000,3.07048887075e-07,9.38058172586e-09,3.97047836317e-09,7.10186854042e-09,2.91276561681e-08
2020-04-21 17:44:59.000000,3.22006796583e-07,9.54246723337e-09,4.11051892141e-09,7.22211458713e-09,3.08295032376e-08
2020-04-21 17:59:59.000000,2.99745710122e-07,9.67952472596e-09,4.16817437196e-09,7.30453569337e-09,3.09257853143e-08
2020-04-21 18:14:59.000000,2.95288953797e-07,9.22919192575e-09,3.92992721752e-09,7.26523308291e-09,3.0872934332e-08
2020-04-21 18:29:59.000000,2.98341739646e-07,9.93560302873e-09,3.98705100164e-09,7.33114921231e-09,3.20259738695e-08
2020-04-21 18:44:59.000000,2.89809173337e-07,1.01299923733e-08,4.00575452153e-09,7.24209037091e-09,3.1078535638e-08
2020-04-21 18:59:59.000000,2.68984241929e-07,9.91605512778e-09,4.31821967184e-09,7.4419531684e-09,3.04312817457e-08
2020-04-21 19:14:59.000000,2.79306389677e-07,9.77839626749e-09,3.87480162904e-09,7.25273722601e-09,3.18170224662e-08
2020-04-21 19:29:59.000000,3.0009726747e-07,9.4798862976e-09,3.67226104256e-09,7.00229460946e-09,3.15593937001e-08
2020-04-21 19:44:59.000000,2.89838437894e-07,9.04668561721e-09,3.87090269176e-09,7.14503733756e-09,3.1175750512e-08
2020-04-21 19:59:59.000000,2.85907517089e-07,8.82847408735e-09,3.63733501902e-09,7.10586279514e-09,3.25416987877e-08
2020-04-21 20:14:59.000000,2.74480852235e-07,8.51902844725e-09,3.51495224534e-09,6.95713120988e-09,3.24996779398e-08
2020-04-21 20:29:59.000000,2.59811646499e-07,8.86863220671e-09,4.08999380658e-09,7.37276187518e-09,3.22835083696e-08
2020-04-21 20:44:59.000000,2.60021021403e-07,8.61197465275e-09,4.13099951641e-09,7.35424109864e-09,3.19532396079e-08
2020-04-21 20:59:59.000000,2.56533907108e-07,8.36518900112e-09,3.51115004479e-09,7.09769217601e-09,3.14239669063e-08
2020-04-21 21:14:59.000000,2.55386073184e-07,7.91769426996e-09,2.97423085813e-09,6.72007537644e-09,3.09856792305e-08
2020-04-21 21:29:59.000000,2.63070482129e-07,8.06092494361e-09,3.10848941116e-09,7.07181164018e-09,3.19743647508e-08
2020-04-21 21:44:59.000000,2.7710012875e-07,8.29272854133e-09,3.44187070433e-09,7.11707577345e-09,3.11003580205e-08
2020-04-21 21:59:59.000000,2.71474729915e-07,7.74141867042e-09,3.13999782173e-09,6.70315417052e-09,2.92986538083e-08
2020-04-21 22:14:59.000000,2.57524579067e-07,7.51626290598e-09,2.89467411145e-09,6.48857001437e-09,2.88126342378e-08
2020-04-21 22:29:59.000000,2.67534771176e-07,7.53222628893e-09,2.95553743057e-09,6.53694545488e-09,2.8660667598e-08
2020-04-21 22:44:59.000000,2.71273901417e-07,7.61423601573e-09,3.38762981101e-09,6.6905752401e-09,3.08096605423e-08
2020-04-21 22:59:59.000000,2.69803115846e-07,7.41002489209e-09,2.70383955149e-09,6.53229898444e-09,3.3609663931e-08
